Date : 2026-01-26 02:05:31
Directory : e:\GitHub\Project-Cronus\Cronus
Total : 224 files,  51806 codes, 11059 comments, 9204 blanks, all 72069 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\NodeClasses\TriangleMeshNode.cs            | C#          |        250 |        120 |         91 |        461 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\PointGenerator.cs                          | C#          |        318 |        184 |         90 |        592 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\QuadtreeGraph.cs                           | C#          |          0 |          3 |          2 |          5 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\BBTree.cs                        | C#          |        359 |        103 |         86 |        548 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\EuclideanEmbedding.cs            | C#          |         32 |         12 |         15 |         59 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\GraphTransform.cs                | C#          |        141 |         43 |         32 |        216 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\GridLookup.cs                    | C#          |        132 |         35 |         26 |        193 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\NavMeshRenderer.cs               | C#          |          0 |          3 |          2 |          5 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\NavmeshTile.cs                   | C#          |         38 |         18 |         21 |         77 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\ObjImporter.cs                   | C#          |        212 |         15 |         17 |        244 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\PointKDTree.cs                   | C#          |        212 |         53 |         45 |        310 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Legacy\Editor\LegacyAIPathEditor.cs                   | C#          |          0 |          3 |          2 |          5 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Legacy\Editor\LegacyEditorHelper.cs                   | C#          |          0 |          3 |          2 |          5 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Legacy\Editor\LegacyRVOControllerEditor.cs            | C#          |          0 |          3 |          2 |          5 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Legacy\Editor\LegacyRichAIEditor.cs                   | C#          |          0 |          3 |          2 |          5 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Legacy\LegacyAIPath.cs                                | C#          |        141 |         99 |         53 |        293 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Legacy\MiscLegacy.cs                                  | C#          |         22 |         21 |          6 |         49 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Modifiers\AlternativePath.cs                          | C#          |         62 |         17 |         18 |         97 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Modifiers\FunnelModifier.cs                           | C#          |         51 |         47 |         11 |        109 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Modifiers\Modifiers.cs                                | C#          |         48 |         26 |         16 |         90 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Modifiers\RaycastModifier.cs                          | C#          |        191 |         86 |         41 |        318 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Modifiers\SimpleSmoothModifier.cs                     | C#          |        235 |         52 |         80 |        367 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Modifiers\StartEndModifier.cs                         | C#          |        126 |        124 |         36 |        286 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Navmesh\NavmeshUpdates.cs                             | C#          |         20 |         33 |          3 |         56 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Navmesh\RelevantGraphSurface.cs                       | C#          |         67 |         11 |         17 |         95 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\PackageTools\Editor\EditorBase.cs                     | C#          |        200 |          9 |         38 |        247 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\PackageTools\Editor\EditorGUIx.cs                     | C#          |        164 |         39 |         43 |        246 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\PackageTools\Editor\EnumFlagDrawer.cs                 | C#          |         32 |          3 |          5 |         40 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\PackageTools\Editor\PackageToolsEditor.asmdef         | JSON        |         12 |          0 |          0 |         12 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\PackageTools\EnumFlagAttribute.cs                     | C#          |          5 |          1 |          2 |          8 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\PackageTools\UniqueComponentAttribute.cs              | C#          |          6 |          0 |          1 |          7 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\PackageTools\VersionedMonoBehaviour.cs                | C#          |         31 |         12 |         11 |         54 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Pathfinders\ABPath.cs                                 | C#          |        390 |        259 |        108 |        757 |
| e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\TurnBased\BlockManager.cs                             | C#          |         97 |         49 |         24 |        170 |
