"filename", "language", "XML", "JSON", "C#", "UnityShader", "Markdown", "HTML", "comment", "blank", "total"
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\AstarSmoothFollow2.cs", "C#", 0, 0, 30, 0, 0, 0, 4, 5, 39
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\DoorController.cs", "C#", 0, 0, 38, 0, 0, 0, 9, 13, 60
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\MineBotAI.cs", "C#", 0, 0, 36, 0, 0, 0, 14, 6, 56
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\MineBotAnimation.cs", "C#", 0, 0, 32, 0, 0, 0, 31, 11, 74
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\ObjectPlacer.cs", "C#", 0, 0, 52, 0, 0, 0, 14, 13, 79
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\SnapToNode.cs", "C#", 0, 0, 16, 0, 0, 0, 4, 2, 22
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\ExampleScripts\TargetMover.cs", "C#", 0, 0, 51, 0, 0, 0, 15, 12, 78
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\Materials\DiffuseAlwaysVisible.shader", "UnityShader", 0, 0, 0, 30, 0, 0, 0, 16, 46
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\ExampleScenes\Materials\Projector Light.shader", "UnityShader", 0, 0, 0, 26, 0, 0, 0, 0, 26
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Base.cs", "C#", 0, 0, 291, 0, 0, 0, 314, 95, 700
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\GridGenerator.cs", "C#", 0, 0, 1157, 0, 0, 0, 741, 345, 2243
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\NavMeshGenerator.cs", "C#", 0, 0, 161, 0, 0, 0, 60, 52, 273
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\NavmeshBase.cs", "C#", 0, 0, 798, 0, 0, 0, 336, 233, 1367
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\NodeClasses\GridNode.cs", "C#", 0, 0, 241, 0, 0, 0, 57, 64, 362
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\NodeClasses\GridNodeBase.cs", "C#", 0, 0, 207, 0, 0, 0, 98, 58, 363
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\NodeClasses\PointNode.cs", "C#", 0, 0, 146, 0, 0, 0, 86, 41, 273
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\NodeClasses\TriangleMeshNode.cs", "C#", 0, 0, 250, 0, 0, 0, 120, 91, 461
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\PointGenerator.cs", "C#", 0, 0, 318, 0, 0, 0, 184, 90, 592
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\QuadtreeGraph.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\BBTree.cs", "C#", 0, 0, 359, 0, 0, 0, 103, 86, 548
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\EuclideanEmbedding.cs", "C#", 0, 0, 32, 0, 0, 0, 12, 15, 59
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\GraphTransform.cs", "C#", 0, 0, 141, 0, 0, 0, 43, 32, 216
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\GridLookup.cs", "C#", 0, 0, 132, 0, 0, 0, 35, 26, 193
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\NavMeshRenderer.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\NavmeshTile.cs", "C#", 0, 0, 38, 0, 0, 0, 18, 21, 77
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\ObjImporter.cs", "C#", 0, 0, 212, 0, 0, 0, 15, 17, 244
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Generators\Utilities\PointKDTree.cs", "C#", 0, 0, 212, 0, 0, 0, 53, 45, 310
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Legacy\Editor\LegacyAIPathEditor.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Legacy\Editor\LegacyEditorHelper.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Legacy\Editor\LegacyRVOControllerEditor.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Legacy\Editor\LegacyRichAIEditor.cs", "C#", 0, 0, 0, 0, 0, 0, 3, 2, 5
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Legacy\LegacyAIPath.cs", "C#", 0, 0, 141, 0, 0, 0, 99, 53, 293
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Legacy\MiscLegacy.cs", "C#", 0, 0, 22, 0, 0, 0, 21, 6, 49
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Modifiers\AlternativePath.cs", "C#", 0, 0, 62, 0, 0, 0, 17, 18, 97
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Modifiers\FunnelModifier.cs", "C#", 0, 0, 51, 0, 0, 0, 47, 11, 109
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Modifiers\Modifiers.cs", "C#", 0, 0, 48, 0, 0, 0, 26, 16, 90
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Modifiers\RaycastModifier.cs", "C#", 0, 0, 191, 0, 0, 0, 86, 41, 318
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Modifiers\SimpleSmoothModifier.cs", "C#", 0, 0, 235, 0, 0, 0, 52, 80, 367
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Modifiers\StartEndModifier.cs", "C#", 0, 0, 126, 0, 0, 0, 124, 36, 286
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Navmesh\NavmeshUpdates.cs", "C#", 0, 0, 20, 0, 0, 0, 33, 3, 56
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Navmesh\RelevantGraphSurface.cs", "C#", 0, 0, 67, 0, 0, 0, 11, 17, 95
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\PackageTools\Editor\EditorBase.cs", "C#", 0, 0, 200, 0, 0, 0, 9, 38, 247
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\PackageTools\Editor\EditorGUIx.cs", "C#", 0, 0, 164, 0, 0, 0, 39, 43, 246
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\PackageTools\Editor\EnumFlagDrawer.cs", "C#", 0, 0, 32, 0, 0, 0, 3, 5, 40
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\PackageTools\Editor\PackageToolsEditor.asmdef", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 12
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\PackageTools\EnumFlagAttribute.cs", "C#", 0, 0, 5, 0, 0, 0, 1, 2, 8
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\PackageTools\UniqueComponentAttribute.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 1, 7
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\PackageTools\VersionedMonoBehaviour.cs", "C#", 0, 0, 31, 0, 0, 0, 12, 11, 54
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Pathfinders\ABPath.cs", "C#", 0, 0, 390, 0, 0, 0, 259, 108, 757
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\TurnBased\BlockManager.cs", "C#", 0, 0, 97, 0, 0, 0, 49, 24, 170
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\TurnBased\SingleNodeBlocker.cs", "C#", 0, 0, 32, 0, 0, 0, 30, 8, 70
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Utilities\AstarChecksum.cs", "C#", 0, 0, 12, 0, 0, 0, 6, 4, 22
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Utilities\AstarMemory.cs", "C#", 0, 0, 50, 0, 0, 0, 48, 12, 110
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Utilities\AstarParallel.cs", "C#", 0, 0, 72, 0, 0, 0, 25, 11, 108
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Utilities\AstarProfiler.cs", "C#", 0, 0, 145, 0, 0, 0, 45, 36, 226
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Utilities\DotNetReplacements.cs", "C#", 0, 0, 118, 0, 0, 0, 11, 35, 164
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Utilities\DynamicGridObstacle.cs", "C#", 0, 0, 127, 0, 0, 0, 73, 36, 236
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Utilities\Funnel.cs", "C#", 0, 0, 267, 0, 0, 0, 91, 75, 433
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Utilities\GraphGizmoHelper.cs", "C#", 0, 0, 125, 0, 0, 0, 18, 22, 165
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Utilities\GraphUpdateUtilities.cs", "C#", 0, 0, 34, 0, 0, 0, 61, 15, 110
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Utilities\PathUtilities.cs", "C#", 0, 0, 263, 0, 0, 0, 193, 81, 537
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Utilities\ProceduralGridMover.cs", "C#", 0, 0, 194, 0, 0, 0, 133, 50, 377
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Utilities\ProfileHelper.cs", "C#", 0, 0, 99, 0, 0, 0, 5, 20, 124
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Utilities\RetainedGizmos.cs", "C#", 0, 0, 243, 0, 0, 0, 80, 54, 377
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\Utilities\UnityReferenceHelper.cs", "C#", 0, 0, 30, 0, 0, 0, 6, 5, 41
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\link.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 22
"e:\GitHub\Project-Cronus\Cronus\Assets\AstarPathfindingProject\package.json", "JSON", 0, 42, 0, 0, 0, 0, 0, 0, 42
"e:\GitHub\Project-Cronus\Cronus\Assets\InputSystem\PlayerInputSet.cs", "C#", 0, 0, 447, 0, 0, 0, 202, 22, 671
"e:\GitHub\Project-Cronus\Cronus\Assets\Scripts\Camera\CameraLookAhead.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 9, 37
"e:\GitHub\Project-Cronus\Cronus\Assets\Scripts\EnemyBullet.cs", "C#", 0, 0, 46, 0, 0, 0, 4, 10, 60
"e:\GitHub\Project-Cronus\Cronus\Assets\Scripts\Enemy\Animation\Enemy_AnimationTrigger.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 3, 16
"e:\GitHub\Project-Cronus\Cronus\Assets\Scripts\Enemy\Enemy.cs", "C#", 0, 0, 375, 0, 0, 0, 36, 76, 487
"e:\GitHub\Project-Cronus\Cronus\Assets\Scripts\Enemy\EnemyVisibilityHandler.cs", "C#", 0, 0, 55, 0, 0, 0, 9, 13, 77
"e:\GitHub\Project-Cronus\Cronus\Assets\Scripts\Enemy\Enemy_Noob.cs", "C#", 0, 0, 33, 0, 0, 0, 0, 8, 41
"e:\GitHub\Project-Cronus\Cronus\Assets\Scripts\Entity.cs", "C#", 0, 0, 88, 0, 0, 0, 2, 28, 118
"e:\GitHub\Project-Cronus\Cronus\Assets\Scripts\HideSpot\HideSpot.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 1, 9
"e:\GitHub\Project-Cronus\Cronus\Assets\Scripts\Player\Animation\Player_AnimationTrigger.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 4, 17
"e:\GitHub\Project-Cronus\Cronus\Assets\Scripts\Player\Player.cs", "C#", 0, 0, 311, 0, 0, 0, 12, 71, 394
"e:\GitHub\Project-Cronus\Cronus\Assets\Scripts\Player\PlayerFeedBack.cs", "C#", 0, 0, 5, 0, 0, 0, 1, 5, 11
"e:\GitHub\Project-Cronus\Cronus\Assets\Scripts\Player\SoundWave.cs", "C#", 0, 0, 42, 0, 0, 0, 8, 9, 59
"e:\GitHub\Project-Cronus\Cronus\Assets\Scripts\Player\View\FieldOfView.cs", "C#", 0, 0, 102, 0, 0, 0, 11, 26, 139
